productcomp,producttype,productspec
head cheese,head cheese,head cheese
hemp infusion leaf,hemp,infusion leaf
hemp seed,hemp,seed
hemp seed oil,hemp,seed oil
herb and spices,herb and spices,herb and spices
herb and spices sauce,herb and spices,sauce
herb liqueur,herb,liqueur
herbal extract,herbal,extract
herbal infusion,herbal,infusion
herbal infusion extract,herbal,infusion extract
herbal infusion leaf,herbal,infusion leaf
herring roe,herring,roe
hibiscus infusion,hibiscus,infusion
honey,honey,honey
honeydew honey,honey,honeydew
hops,hops,hops
horse fat tissue,horse,fat tissue
horse fresh meat,horse,fresh meat
horse kidney,horse,kidney
horse liver,horse ,liver
horse mackerel,horse mackerel,horse mackerel
horse meat,horse ,fresh meat
horse minced meat,horse,minced meat
horseradish root,horseradish,root
hot chocolate,chocolate,hot
huckleberry,huckleberry,huckleberry
ice,ice,ice
ice cream,ice cream,ice cream
insect,insect,insect
instant coffee powder,coffee powder,instant
instant decaffeinated,coffee powder,instant decaffeinated
instant oat,oat,instant
iodised and fluoridated salt,salt,iodised and fluoridated
iodisen salt,salt,iodisen
isotonic drink,isotonic drink,isotonic drink
jam,jam,jam
jelly candy,candy,jelly
juice,juice,juice
kaki,kaki,kaki
kefir,kefir,kefir
ketchup,ketchup,ketchup
kiwi,kiwi,kiwi
kohlrabi,kohlrabi,kohlrabi
kombu,kombu,kombu
lactose,lactose,lactose
lamb fresh meat,lamb,fresh meat
lamb's lettuce,lamb's lettuce,lamb's lettuce
lamprey,lamprey,lamprey
lard,lard,lard
laver,laver,laver
leek,leek,leek
legume,legume,legume
legume flour,legume,flour
legume soup,legume,soup
lemon,lemon,lemon
lemon balm,lemon balm,lemon balm
lemon juice,lemon,juice
lemongrass,lemongrass,lemongrass
lentil,lentil,lentil
lettuce,lettuce,lettuce
lime,lime,lime
lime infusion flower,lime flower,infusion
limpet,limpet,limpet
ling,ling,ling
linseed,linseed,linseed
linseed oil,linseed,oil
liqueur,liqueur,liqueur
liqueur wine,wine,liqueur
liquorice,liquorice,liquorice
liquorice candy,candy,liquorice
litchi,litchi,litchi
liver,liver,liver
lobster,lobster,lobster
long grain rice,rice,long grain
macadamia,macadamia,macadamia
macaroon,macaroon,macaroon
mackerel,mackerel,mackerel
maize,maize,maize
maize chips,maize chips,maize chips
maize flakes,maize,flakes
maize meal,miaze,meal
maize oil,maize,oil
maize porridge,maize porridge,maize porridge
maize semolina,maize,semolina
maize starch,maize,starch
mallard fresh meat,mallard,fresh meat
malt coffee,malt coffee,malt coffee
malt extraxt,malt,extraxt
mandarin,mandarin,mandarin
mango,mango,mango
mango juice,mango,juice
margarine,margarine,margarine
